"CANTIDAD","Diferencia"
"202","0,50"
"203","0,25"
"204","0,25"
"205","0,25"
"206","0,25"
"207","0,25"
"209","0,50"
"210","0,25"
"211","0,25"
"212","0,25"
"213","0,25"
"214","0,25"
"215","0,25"
"217","0,50"
"218","0,25"
"221","0,75"
"222","0,25"
"223","0,25"
"224","0,25"
"225","0,25"
"227","0,50"
"228","0,25"
"229","0,25"
"231","0,50"
"232","0,25"
"233","0,25"
"234","0,25"
"235","0,25"
"236","0,25"
"237","0,25"
"238","0,25"
"239","0,25"
"241","0,50"
"242","0,25"
"243","0,25"
"244","0,25"
"245","0,25"
"247","0,50"
"248","0,25"
"249","0,25"
"250","0,25"
"251","0,25"
"252","0,25"
"253","0,25"
"254","0,25"
"255","0,25"
"256","0,25"
"257","0,25"
"259","0,50"
"260","0,25"
"262","0,50"
"263","0,25"
"264","0,25"
"266","0,50"
"267","0,25"
"269","0,50"
"270","0,25"
"271","0,25"
"272","0,25"
"273","0,25"
"275","0,50"
"276","0,25"
"278","0,50"
"279","0,25"
"280","0,25"
"282","0,50"
"284","0,50"
"287","0,75"
"288","0,25"
"289","0,25"
"291","0,50"
"292","0,25"
"293","0,25"
"294","0,25"
"295","0,25"
"296","0,25"
"297","0,25"
"298","0,25"
"299","0,25"
"300","0,25"
"303","0,75"
"304","0,25"
"306","0,50"
"310","1,00"
"311","0,25"
"312","0,25"
"313","0,25"
"314","0,25"
"316","0,50"
"318","0,50"
"319","0,25"
"320","0,25"
"322","0,50"
"323","0,25"
"324","0,25"
"325","0,25"
"326","0,25"
"327","0,25"
"328","0,25"
"331","0,75"
"332","0,25"
"333","0,25"
"334","0,25"
"335","0,25"
"336","0,25"
"337","0,25"
"339","0,50"
"340","0,25"
"342","0,50"
"343","0,25"
"344","0,25"
"347","0,75"
"349","0,50"
"350","0,25"
"351","0,25"
"352","0,25"
"353","0,25"
"354","0,25"
"355","0,25"
"356","0,25"
"357","0,25"
"358","0,25"
"359","0,25"
"360","0,25"
"361","0,25"
"362","0,25"
"363","0,25"
"367","1,00"
"369","0,50"
"370","0,25"
"371","0,25"
"372","0,25"
"373","0,25"
"374","0,25"
"377","0,75"
"378","0,25"
"380","0,50"
"381","0,25"
"382","0,25"
"384","0,50"
"385","0,25"
"386","0,25"
"387","0,25"
"388","0,25"
"389","0,25"
"390","0,25"
"395","1,25"
"397","0,50"
"398","0,25"
"399","0,25"
"400","0,25"
"402","0,50"
"403","0,25"
"405","0,50"
"406","0,25"
"407","0,25"
"408","0,25"
"409","0,25"
"410","0,25"
"412","0,50"
"413","0,25"
"414","0,25"
"417","0,75"
"419","0,50"
"421","0,50"
"422","0,25"
"424","0,50"
"425","0,25"
"426","0,25"
"427","0,25"
"428","0,25"
"429","0,25"
"430","0,25"
"432","0,50"
"435","0,75"
"436","0,25"
"437","0,25"
"439","0,50"
"440","0,25"
"442","0,50"
"443","0,25"
"445","0,50"
"446","0,25"
"447","0,25"
"451","1,00"
"453","0,50"
"454","0,25"
"455","0,25"
"456","0,25"
"457","0,25"
"459","0,50"
"461","0,50"
"462","0,25"
"464","0,50"
"465","0,25"
"466","0,25"
"467","0,25"
"469","0,50"
"470","0,25"
"472","0,50"
"473","0,25"
"474","0,25"
"476","0,50"
"477","0,25"
"478","0,25"
"479","0,25"
"481","0,50"
"482","0,25"
"484","0,50"
"485","0,25"
"488","0,75"
"489","0,25"
"491","0,50"
"492","0,25"
"496","1,00"
"497","0,25"
"498","0,25"
"499","0,25"
"500","0,25"
"502","0,50"
"503","0,25"
"504","0,25"
"505","0,25"
"506","0,25"
"507","0,25"
"508","0,25"
"509","0,25"
"510","0,25"
"511","0,25"
"514","0,75"
"516","0,50"
"518","0,50"
"519","0,25"
"520","0,25"
"521","0,25"
"522","0,25"
"523","0,25"
"524","0,25"
"525","0,25"
"526","0,25"
"527","0,25"
"528","0,25"
"529","0,25"
"530","0,25"
"531","0,25"
"532","0,25"
"533","0,25"
"534","0,25"
"535","0,25"
"537","0,50"
"539","0,50"
"540","0,25"
"541","0,25"
"545","1,00"
"546","0,25"
"547","0,25"
"549","0,50"
"550","0,25"
"553","0,75"
"554","0,25"
"555","0,25"
"557","0,50"
"558","0,25"
"559","0,25"
"560","0,25"
"561","0,25"
"562","0,25"
"563","0,25"
"565","0,50"
"566","0,25"
"567","0,25"
"568","0,25"
"570","0,50"
"571","0,25"
"572","0,25"
"573","0,25"
"574","0,25"
"575","0,25"
"576","0,25"
"577","0,25"
"578","0,25"
"579","0,25"
"581","0,50"
"582","0,25"
"583","0,25"
"584","0,25"
"587","0,75"
"590","0,75"
"591","0,25"
"592","0,25"
"593","0,25"
"594","0,25"
"595","0,25"
"596","0,25"
"597","0,25"
"598","0,25"
"599","0,25"
"600","0,25"
"601","0,25"
"602","0,25"
"604","0,50"
"608","1,00"
"609","0,25"
"611","0,50"
"612","0,25"
